"nrois","roiarea","h1","h2","h3","share%","color","codes","rawtime","totalTime","numReduceThreads"
"10","500","Total","Gabor","Gabor","44.3053","#f58231","Gabor","64024.3","144507","4"
"10","500","Total","Image scan1","ImgScan1","0.0422201","lightsteelblue","Scan1","61.011","144507","4"
"10","500","Total","Image scan2a","ImgScan2a","5.12268","lightsteelblue","Scan2a","7402.63","144507","4"
"10","500","Total","Image scan2b","ImgScan2b","0.0635706","lightsteelblue","Scan2b","91.864","144507","4"
"10","500","Total","Image scan3","ImgScan3","0.00230231","lightsteelblue","Scan3","3.327","144507","4"
"10","500","Total","Intensity","Intensity","1.03789","#FFFF00","Int","1499.83","144507","4"
"10","500","Total","Moments","Moments","25.0942","#FFFACD","2D moms","36262.9","144507","4"
"10","500","Total","Morphology","Basic","0.7206","#4aaaea","E","1041.32","144507","4"
"10","500","Total","Morphology","Chords","2.2463","#4aaaea","Ch","3246.06","144507","4"
"10","500","Total","Morphology","Contour","1.22121","#4aaaea","C","1764.73","144507","4"
"10","500","Total","Morphology","Ellipticity","0.196815","#4aaaea","E","284.411","144507","4"
"10","500","Total","Morphology","Erosion","0.667986","#4aaaea","Er","965.287","144507","4"
"10","500","Total","Morphology","Euler","0.206881","#4aaaea","Eu","298.957","144507","4"
"10","500","Total","Morphology","Extrema","0.212628","#4aaaea","Ex","307.262","144507","4"
"10","500","Total","Morphology","Feret","0.273006","#4aaaea","F","394.513","144507","4"
"10","500","Total","Morphology","Fractal dimension","1.71691","#4aaaea","Fd","2481.06","144507","4"
"10","500","Total","Morphology","HexPolygEncloInsCircleGeodetLenThickness","0.309112","#4aaaea","HP","446.689","144507","4"
"10","500","Total","Morphology","Hull","0.290501","#4aaaea","H","419.794","144507","4"
"10","500","Total","Morphology","Martin","0.218128","#4aaaea","M","315.21","144507","4"
"10","500","Total","Morphology","Nassenstein","0.287439","#4aaaea","N","415.37","144507","4"
"10","500","Total","Morphology","RoiR","3.38646","#4aaaea","R","4893.67","144507","4"
"10","500","Total","Neighbors","Neighbors","0.00690139","#FF69B4","N","9.973","144507","4"
"10","500","Total","RDistribution","Rdist","5.53969","#00FFFF","Rd","8005.24","144507","4"
"10","500","Total","RDistribution","Zernike","0.396178","#00FFFF","Rz","572.505","144507","4"
"10","500","Total","Texture","GLCM texture","1.44923","#bbbbbb","GLCM","2094.24","144507","4"
"10","500","Total","Texture","GLDM","0.41691","#bbbbbb","D","602.464","144507","4"
"10","500","Total","Texture","GLRLM","2.71012","#bbbbbb","RL","3916.31","144507","4"
"10","500","Total","Texture","GLSZM","1.04648","#bbbbbb","SZ","1512.24","144507","4"
"10","500","Total","Texture","NGTDM","0.81234","#bbbbbb","NG","1173.89","144507","4"
"10","500","Total","All","All","100","#000000","TOTL","144507","144507","4"
